author,awards,bookFormat,bookName,description,isbn,noOfPages,noOfReviews,publisher,rating,votes 
Jim Butcher,,Hardcover,Cursor's Fury,"The power-hungry High Lord of Kalare has launched a rebellion against the aging First Lord, Gaius Sextus, who with the loyal forces of Alera must fight beside the unlikeliest of allies-the equally contentious High Lord of Aquitaine.  Meanwhile, young Tavi of Calderon joins a newly formed legion under an assumed name even as the ruthless Kalare unites with the Canim, bestiaThe power-hungry High Lord of Kalare has launched a rebellion against the aging First Lord, Gaius Sextus, who with the loyal forces of Alera must fight beside the unlikeliest of allies-the equally contentious High Lord of Aquitaine.  Meanwhile, young Tavi of Calderon joins a newly formed legion under an assumed name even as the ruthless Kalare unites with the Canim, bestial enemies of the realm whose vast numbers spell certain doom for Alera. When treachery from within destroys the army's command structure, Tavi finds himself leading an inexperienced, poorly equipped legion-the only force standing between the Canim horde and the war-torn realm.",0441014348,442 pages,"1,244"," 
            Published
        December 5th 2006
         by Ace Hardcover",4.37,"50,303"
Terry Goodkind,Locus Award Nominee for Best first novel (1995),Paperback,Wizard's First Rule,"The masterpiece that started The New York Times bestselling epic Sword of Truth.In the aftermath of the brutal murder of his father, a mysterious woman, Kahlan Amnell, appears in Richard Cypher's forest sanctuary seeking help . . . and more. His world, his very beliefs, are shattered when ancient debts come due with thundering violence. In a dark age it takes courage to liThe masterpiece that started The New York Times bestselling epic Sword of Truth.In the aftermath of the brutal murder of his father, a mysterious woman, Kahlan Amnell, appears in Richard Cypher's forest sanctuary seeking help . . . and more. His world, his very beliefs, are shattered when ancient debts come due with thundering violence. In a dark age it takes courage to live, and more than mere courage to challenge those who hold dominion, Richard and Kahlan must take up that challenge or become the next victims. Beyond awaits a bewitching land where even the best of their hearts could betray them. Yet, Richard fears nothing so much as what secrets his sword might reveal about his own soul. Falling in love would destroy them--for reasons Richard can't imagine and Kahlan dare not say.In their darkest hour, hunted relentlessly, tormented by treachery and loss, Kahlan calls upon Richard to reach beyond his sword--to invoke within himself something more noble. Neither knows that the rules of battle have just changed . . . or that their time has run out.This is the beginning. One book. One Rule. Witness the birth of a legend.",,836 pages,"5,846"," 
            Published
        April 14th 2003
         by Tor Books",4.13,"201,579"
Frank Beddor,Lincoln Award Nominee (2012),Hardcover,The Looking Glass Wars,"When Alyss Heart, newly orphaned heir to the Wonderland throne, flees through the Pool of Tears to escape her murderous Aunt Redd, she finds herself lost and alone in Victorian London. Befriended by an aspiring author named Lewis Carrol, Alyss tells the violent, heartbreaking story of her young life. Alyss trusts this author to tell the truth so that soWhen Alyss Heart, newly orphaned heir to the Wonderland throne, flees through the Pool of Tears to escape her murderous Aunt Redd, she finds herself lost and alone in Victorian London. Befriended by an aspiring author named Lewis Carrol, Alyss tells the violent, heartbreaking story of her young life. Alyss trusts this author to tell the truth so that someone, somewhere will find her and bring her home. But he gets the story all wrong. He even spells her name incorrectly!Fortunately, Royal Bodyguard Hatter Madigan knows all too well the awful truth of Alyss' story - and he's searching every corner of our world to find the lost princess and return her to Wonderland, to battle Redd for her rightful place as the Queen of Hearts. unabashedly challenges our Wonderland assumptions of mad tea parties, grinning Cheshire cats, and a curious little blond girl to reveal an epic battle in the endless war for Imagination.",0803731531,364 pages,"3,655","  
            Published
        September 26th 2006
         by Dial Books",3.93,"39,494"
David Anthony Durham,,Hardcover,Acacia: The War with the Mein,"Leodan Akaran, ruler of the Known World, has inherited generations of apparent peace and prosperity, won ages ago by his ancestors. A widower of high intelligence, he presides over an empire called Acacia, after the idyllic island from which he rules. He dotes on his four children and hides from them the dark realities of traffic in drugs and human lives on which their proLeodan Akaran, ruler of the Known World, has inherited generations of apparent peace and prosperity, won ages ago by his ancestors. A widower of high intelligence, he presides over an empire called Acacia, after the idyllic island from which he rules. He dotes on his four children and hides from them the dark realities of traffic in drugs and human lives on which their prosperity depends. He hopes that he might change this, but powerful forces stand in his way. And then a deadly assassin sent from a race called the Mein, exiled long ago to an ice-locked stronghold in the frozen north, strikes at Leodan in the heart of Acacia while they unleash surprise attacks across the empire. On his deathbed, Leodan puts into play a plan to allow his children to escape, each to their separate destiny. And so his children begin a quest to avenge their father's death and restore the Acacian empire—this time on the basis of universal freedom.",0385506066,576 pages,522,"  
            Published
        June 12th 2007
         by Doubleday",3.56,"7,977"
Suzanne Collins,"Locus Award Nominee for Best Young Adult Book (2011),Children's Choice Book Award Nominee for Teen Choice Book of the Year (2011),Publishers Weekly's Best Children's Books of the Year for Fiction (2010),Andre Norton Award Nominee for Young Adult Science Fiction and Fantasy (2010),DABWAHA Romance Tournament for Best Young Adult Romance (2011)",Hardcover,Mockingjay,"Katniss Everdeen, girl on fire, has survived, even though her home has been destroyed. Gale has escaped. Katniss's family is safe. Peeta has been captured by the Capitol. District 13 really does exist. There are rebels. There are new leaders. A revolution is unfolding.It is by design that Katniss was rescued frKatniss Everdeen, girl on fire, has survived, even though her home has been destroyed. Gale has escaped. Katniss's family is safe. Peeta has been captured by the Capitol. District 13 really does exist. There are rebels. There are new leaders. A revolution is unfolding.It is by design that Katniss was rescued from the arena in the cruel and haunting Quarter Quell, and it is by design that she has long been part of the revolution without knowing it. District 13 has come out of the shadows and is plotting to overthrow the Capitol. Everyone, it seems, has had a hand in the carefully laid plans--except Katniss.The success of the rebellion hinges on Katniss's willingness to be a pawn, to accept responsibility for countless lives, and to change the course of the future of Panem. To do this, she must put aside her feelings of anger and distrust. She must become the rebels' Mockingjay--no matter what the personal cost.",0439023513,392 pages,"98,137","  
            Published
        August 24th 2010
         by Scholastic Press",4.03,"1,981,665"
Rick Riordan,,Hardcover,The Throne of Fire,"Ever since the gods of Ancient Egypt were unleashed in the modern world, Carter Kane and his sister Sadie have been in trouble. As descendants of the House of Life, the Kanes have some powers at their command, but the devious gods haven't given them much time to master their skills at Brooklyn House, which has become a training ground for young magicians. And now their mosEver since the gods of Ancient Egypt were unleashed in the modern world, Carter Kane and his sister Sadie have been in trouble. As descendants of the House of Life, the Kanes have some powers at their command, but the devious gods haven't given them much time to master their skills at Brooklyn House, which has become a training ground for young magicians. And now their most threatening enemy yet - the chaos snake Apophis - is rising. If they don't prevent him from breaking free in a few days' time, the world will come to an end. In other words, it's a typical week for the Kane family. To have any chance of battling the Forces of Chaos, the Kanes must revive the sun god Ra. But that would be a feat more powerful than any magician has ever accomplished. First they have to search the world for the three sections of the Book of Ra, then they have to learn how to chant its spells. Oh, and did we mention that no one knows where Ra is exactly? Narrated in two different wisecracking voices, featuring a large cast of new and unforgettable characters, and with adventures spanning the globe, this second installment in the Kane Chronicles is nothing short of a thrill ride.",1423140567,452 pages,"5,268"," 
            Published
        May 3rd 2011
         by Hyperion Books for Children",4.21,"133,176"
Leigh Bardugo,"Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017),Evergreen Teen Book Award Nominee (2018),Milwaukee County Teen Book Award Nominee (2017),Lincoln Award (2018),Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2015)",Hardcover,Six of Crows,Ketterdam: a bustling hub of international trade where anything can be had for the right price–and no one knows that better than criminal prodigy Kaz Brekker. Kaz is offered a chance at a deadly heist that could make him rich beyond his wildest dreams. But he can’t pull it off alone…Ketterdam: a bustling hub of international trade where anything can be had for the right price–and no one knows that better than criminal prodigy Kaz Brekker. Kaz is offered a chance at a deadly heist that could make him rich beyond his wildest dreams. But he can’t pull it off alone…Six dangerous outcasts. One impossible heist. Kaz’s crew is the only thing that might stand between the world and destruction—if they don’t kill each other first.,1627792120,462 pages,"23,281"," 
            Published
        September 29th 2015
         by Henry Holt and Company",4.46,"153,520"
Naomi Novik,,Mass Market Paperback,Empire of Ivory,"Tragedy has struck His Majesty’s Aerial Corps, whose magnificent fleet of fighting dragons and their human captains valiantly defend England’s shores against the encroaching armies of Napoleon Bonaparte. An epidemic of unknown origin and no known cure is decimating the noble dragons’ ranks–forcing the hopelessly stricken into quarantine. Now only Temeraire and a pack of neTragedy has struck His Majesty’s Aerial Corps, whose magnificent fleet of fighting dragons and their human captains valiantly defend England’s shores against the encroaching armies of Napoleon Bonaparte. An epidemic of unknown origin and no known cure is decimating the noble dragons’ ranks–forcing the hopelessly stricken into quarantine. Now only Temeraire and a pack of newly recruited dragons remain uninfected–and stand as the only means of an airborne defense against France’s ever bolder sorties.Bonaparte’s dragons are already harrowing Britain’s ships at sea. Only one recourse remains: Temeraire and his captain, Will Laurence, must take wing to Africa, whose shores may hold the cure to the mysterious and deadly contagion. On this mission there is no time to waste, and no telling what lies in store beyond the horizon or for those left behind to wait, hope, and hold the line.",0345496876,404 pages,947," 
            Published
        September 25th 2007
         by Del Rey",3.94,"19,260"
P.C. Cast,Goodreads Choice Award Nominee for Favorite Book & Young Adult Series (2009),Hardcover,Hunted,"What if the hottest guy in the world was hiding a nameless evil, and all he wanted was you? At the start of this heart-pounding new installment of the bestselling House of Night series, Zoey’s friends have her back again and Stevie Rae and the red fledglings aren’t Neferet’s secrets any longer. But an unexpected danger has emerged. Neferet guards her powerful new consort,What if the hottest guy in the world was hiding a nameless evil, and all he wanted was you? At the start of this heart-pounding new installment of the bestselling House of Night series, Zoey’s friends have her back again and Stevie Rae and the red fledglings aren’t Neferet’s secrets any longer. But an unexpected danger has emerged. Neferet guards her powerful new consort, Kalona, and no one at the House of Night seems to understand the threat he poses. Kalona looks gorgeous, and he has the House of Night under his spell. A past life holds the key to breaking his rapidly spreading influence, but what if this past life shows Zoey secrets she doesn’t want to hear and truths she can’t face?",031237982X,323 pages,"3,323","  
            Published
        March 10th 2009
         by St. Martin's Griffin",3.93,"151,494"
Julie Kagawa,"RITA Award by Romance Writers of America for Best Young Adult Romance & Nominee for First Book (2011),Goodreads Choice Award Nominee for Young Adult Fantasy, Debut Author, Goodreads Author (2010)",Paperback,The Iron King,"Something has always felt slightly off in Meghan's life, ever since her father disappeared before her eyes when she was six. She has never quite fit in at school or at home.When a dark stranger begins watching her from afar, and her prankster best friend becomes strangely protective of her, Meghan sensesSomething has always felt slightly off in Meghan's life, ever since her father disappeared before her eyes when she was six. She has never quite fit in at school or at home.When a dark stranger begins watching her from afar, and her prankster best friend becomes strangely protective of her, Meghan senses that everything she's known is about to change.But she could never have guessed the truth - that she is the daughter of a mythical faery king and is a pawn in a deadly war. Now Meghan will learn just how far she'll go to save someone she cares about, to stop a mysterious evil, no faery creature dare face; and to find love with a young prince who might rather see her dead than let her touch his icy heart.",0373210086,363 pages,"10,991"," 
            Published
        January 19th 2010
         by Harlequin Teen",3.91,"170,623"
Naomi Novik,,Mass Market Paperback,Black Powder War,"Picking up where book two left off (in China, Macau) Captain Will Laurence and his extraordinary dragon, Temeraire, are ordered to retrieve and escort a precious cargo of valuable dragon eggs from Istanbul to England. They take the Old Silk Road from China to Istanbul, crossing deserts and mountains. En route to England, they help the beleaguered Prussians battle Napoleon.",0345481305,365 pages,"1,177"," 
            Published
        May 30th 2006
         by Del Rey Books",3.9,"23,210"
P.C. Cast,,Paperback,Betrayed," Zoey, High Priestess in training, has managed to settle in at the House of Night and come to terms with the vast powers the Vampyre Goddess Nyx has given her. Just as she finally feels she belongs, the unthinkable happens: human teenagers are being killed, and all evidence points to the House of Night. While d Zoey, High Priestess in training, has managed to settle in at the House of Night and come to terms with the vast powers the Vampyre Goddess Nyx has given her. Just as she finally feels she belongs, the unthinkable happens: human teenagers are being killed, and all evidence points to the House of Night. While danger stalks the humans from Zoey’s old life, she begins to realize that the very powers that make her so unique might also threaten those she loves.",0312360282,310 pages,"5,169","  
            Published
        October 2nd 2007
         by Griffin",3.93,"218,558"
Terry Goodkind,,Mass Market Paperback,The Pillars of Creation,"Sequel to the New York Times bestselling New York Times bestselling author Terry Goodkind has created his most lavish adventure yet. Tormented her entire life by inhuman voices, a young woman named Lauren seeks to end her intolerable agony. She at last discovers a way to silence the voices. For everyone else, the torment is about to begin.With winter desSequel to the New York Times bestselling New York Times bestselling author Terry Goodkind has created his most lavish adventure yet. Tormented her entire life by inhuman voices, a young woman named Lauren seeks to end her intolerable agony. She at last discovers a way to silence the voices. For everyone else, the torment is about to begin.With winter descending and the paralyzing dread of an army of annihilation occupying their homeland, Richard Rahl and his wife Kahlan must venture deep into a strange and desolate land. Their quest turns to terror when they find themselves the helpless prey of a tireless hunter.Meanwhile, Lauren finds herself drawn into the center of a struggle for conquest and revenge. Worse yet, she finds her will seized by forces more abhorrent than anything she ever envisioned. Only then does she come to realize that the voices were real.Staggered by loss and increasingly isolated, Richard and Kahlan must stop the relentless, unearthly threat which has come out of the darkest night of the human soul. To do so, Richard will be called upon to face the demons stalking among the Pillars of Creation.Discover breathtaking adventure and true nobility of spirit. Find out why millions of readers the world over have elevated Terry Goodkind to the ranks of legend.",,725 pages,813," 
            Published
        November 2002
         by Tor Books",3.68,"48,177"
Patricia Briggs,"Endeavour Award Nominee (2011),Goodreads Choice Award Nominee for Paranormal Fantasy (2010)",Hardcover,Silver Borne,"Mercy Thompson, car mechanic and shapeshifter, never knows what the day - or night - may bring in a world where ""witches, vampires, werewolves, and shapeshifters live beside ordinary people"" (). But she is about to learn that while some secrets are dangerous whose who seek them are just plain deadly...Mercy is smart enough to realize that when it comes to the magicMercy Thompson, car mechanic and shapeshifter, never knows what the day - or night - may bring in a world where ""witches, vampires, werewolves, and shapeshifters live beside ordinary people"" (). But she is about to learn that while some secrets are dangerous whose who seek them are just plain deadly...Mercy is smart enough to realize that when it comes to the magical fae, the less you know, the better. But you can't always get what you want. When she attempts to return a powerful fae she previously borrowed in an act of desperation, she finds the bookstore locked up and closed down.It seems the book contains secrets - and the fae will do just about anything to keep it out of the wrong hands. And if that doesn't take enough of Mercy's attention, her friend Samuel is struggling with his wolf side - leaving Mercy to cover for him lest his own father declare Samuel's life forfeit.All in all, Mercy has had better days. And if she isn't careful, she may not have many more...",044101819X,342 pages,"2,748","  
            Published
        March 30th 2010
         by Ace Books",4.38,"83,231"
Danielle DeVor,,ebook,Tail of the Devil,"Like many homeless kids, fifteen-year-old Mathias Drvar died on the streets. Unlike the rest, he came back– as a vampire.If Mathias thought being homeless sucked, being a vampire is worse. The vampires who transformed him believe he is the reincarnation of an ancient king. They expect him to quit swearing, use a napkin, and play by their weird, ancient rules. F— that.But aLike many homeless kids, fifteen-year-old Mathias Drvar died on the streets. Unlike the rest, he came back– as a vampire.If Mathias thought being homeless sucked, being a vampire is worse. The vampires who transformed him believe he is the reincarnation of an ancient king. They expect him to quit swearing, use a napkin, and play by their weird, ancient rules. F— that.But after the reigning queen assaults Mathias, he has visions of a past life in which he was that king. Turns out the current queen killed him then, and wants to kill him again. He’d better grow up fast, because if he doesn’t his second life may be shorter than his first.",English,230 pages,29," 
            Published
        April 26th 2013
         by Eirelander Publishing",4.06,201
Anne Bishop,,Paperback,Dreams Made Flesh,"Jaenelle is the most powerful Witch ever known, centuries of hopes and dreams made flesh at last. She has forged ties with three of the realm’s mightiest Blood warriors: Saetan, the High Lord of Hell, who trains Jaenelle in magic and adopts her asJaenelle is the most powerful Witch ever known, centuries of hopes and dreams made flesh at last. She has forged ties with three of the realm’s mightiest Blood warriors: Saetan, the High Lord of Hell, who trains Jaenelle in magic and adopts her as his daughter; Lucivar, the winged Eyrien warlord who becomes her protector; and the near-immortal Daemon born to be Witch’s lover. Jaenelle has assumed her rightful place as Queen of the Darkness and restored order and peace to the realms…but at a terrible cost.In , discover the origin of the mystical Jewels, and experience the forbidden passion between Lucivar and a simple hearth witch. Witness the clash between Saetan and a Priestess that may forever change reality. And learn whether the sacrifice of Jaenelle’s magic has destroyed any hope of happiness between her and Daemon.",0451460707,439 pages,320," 
            Published
        February 7th 2006
         by Roc",4.32,"14,488"
Harry James Fox,,Kindle Edition,The False Prophet,"This is the sequel to the award-winning Christian fantasy novel, The Stonegate Sword. All the major characters return, Donald, Rachel, Carla, and Philip.Stonegate remains the key, and Donald returns to that great walled city and his beloved Rachel just as the hosts of enemy are also closing in. Part adventure, part love story, this epic saga covers the vast panorama of NewThis is the sequel to the award-winning Christian fantasy novel, The Stonegate Sword. All the major characters return, Donald, Rachel, Carla, and Philip.Stonegate remains the key, and Donald returns to that great walled city and his beloved Rachel just as the hosts of enemy are also closing in. Part adventure, part love story, this epic saga covers the vast panorama of New Mexico deserts and Colorado Rockies in a possible future that looks very much like the medieval past. But duty, love, courage, and honor remain and are even more important than ever.",,343 pages,25," 
            Published
        January 10th 2017
         by Foxware Publishing LLC",4.67,39
Ben Aaronovitch,"British Book Award Nominee for New Writer of the Year (2011),CityRead London (2015)",Paperback,Midnight Riot,"Probationary Constable Peter Grant dreams of being a detective in London’s Metropolitan Police. Too bad his superior plans to assign him to the Case Progression Unit, where the biggest threat he’ll face is a paper cut. But Peter’s prospects change in the aftermath of a puzzling murder, when he gains exclusive information from an eyewitness who happens to be a ghost. Peter’Probationary Constable Peter Grant dreams of being a detective in London’s Metropolitan Police. Too bad his superior plans to assign him to the Case Progression Unit, where the biggest threat he’ll face is a paper cut. But Peter’s prospects change in the aftermath of a puzzling murder, when he gains exclusive information from an eyewitness who happens to be a ghost. Peter’s ability to speak with the lingering dead brings him to the attention of Detective Chief Inspector Thomas Nightingale, who investigates crimes involving magic and other manifestations of the uncanny. Now, as a wave of brutal and bizarre murders engulfs the city, Peter is plunged into a world where gods and goddesses mingle with mortals and a long-dead evil is making a comeback on a rising tide of magic.",034552425X,298 pages,"6,198","  
            Published
        February 1st 2011
         by Random House Ballantine",3.92,"57,577"
Brian  McClellan,"David Gemmell Morningstar Award for Best Fantasy Newcomer (2014),Goodreads Choice Award Nominee for Fantasy (2013)",Hardcover,Promise of Blood,"The Age of Kings is dead . . . and I have killed it. It's a bloody business overthrowing a king...Field Marshal Tamas' coup against his king sent corrupt aristocrats to the guillotine and brought bread to the starving. But it also provoked war with the Nine Nations, internal attacks by royalist fanatics, and the greedy to scramble for money and power by Tamas's supposed alThe Age of Kings is dead . . . and I have killed it. It's a bloody business overthrowing a king...Field Marshal Tamas' coup against his king sent corrupt aristocrats to the guillotine and brought bread to the starving. But it also provoked war with the Nine Nations, internal attacks by royalist fanatics, and the greedy to scramble for money and power by Tamas's supposed allies: the Church, workers unions, and mercenary forces.Stretched to his limit, Tamas is relying heavily on his few remaining powder mages, including the embittered Taniel, a brilliant marksman who also happens to be his estranged son, and Adamat, a retired police inspector whose loyalty is being tested by blackmail.But when gods are involved...Now, as attacks batter them from within and without, the credulous are whispering about omens of death and destruction. Just old peasant legends about the gods waking to walk the earth. No modern educated man believes that sort of thing. But they should...In a rich, distinctive world that mixes magic with technology, who could stand against mages that control gunpowder and bullets? PROMISE OF BLOOD is the start of a new epic fantasy series from Brian McClellan.",0316219037,545 pages,"2,147"," 
            Published
        April 16th 2013
         by Orbit",4.16,"29,522"
Catherynne M. Valente,"Mythopoeic Fantasy Award Nominee for Adult Literature (2012),James Tiptree Jr. Award Nominee for Longlist (2011),Prix Elbakin.net for Meilleur roman fantasy traduit (2014)",Hardcover,Deathless,"Koschei the Deathless is to Russian folklore what devils or wicked witches are to European culture: a menacing, evil figure; the villain of countless stories which have been passed on through story and text for generations. But Koschei has never before been seen through the eyes of Catherynne Valente, whose modernized and transformed take on the legend brings the action toKoschei the Deathless is to Russian folklore what devils or wicked witches are to European culture: a menacing, evil figure; the villain of countless stories which have been passed on through story and text for generations. But Koschei has never before been seen through the eyes of Catherynne Valente, whose modernized and transformed take on the legend brings the action to modern times, spanning many of the great developments of Russian history in the twentieth century., however, is no dry, historical tome: it lights up like fire as the young Marya Morevna transforms from a clever child of the revolution, to Koschei’s beautiful bride, to his eventual undoing. Along the way there are Stalinist house elves, magical quests, secrecy and bureaucracy, and games of lust and power. All told, is a collision of magical history and actual history, of revolution and mythology, of love and death, which will bring Russian myth back to life in a stunning new incarnation.",0765326302,352 pages,"1,932"," 
            Published
        March 29th 2011
         by Tor Books",4.03,"12,780"
Terry Pratchett,"Bollinger Everyman Wodehouse Prize for Comic Fiction (2012),Goodreads Choice Award Nominee for Best Fantasy (2011)",Hardcover,Snuff,"According to the writer of the best-selling crime novel ever to have been published in the city of Ankh-Morpork, it is a truth universally acknowledged that a policeman taking a holiday would barely have had time to open his suitcase before he finds his first corpse.And Commander Sam Vimes of the Ankh-Morpork City Watch is on holiday in the pleasant and innocent countrysidAccording to the writer of the best-selling crime novel ever to have been published in the city of Ankh-Morpork, it is a truth universally acknowledged that a policeman taking a holiday would barely have had time to open his suitcase before he finds his first corpse.And Commander Sam Vimes of the Ankh-Morpork City Watch is on holiday in the pleasant and innocent countryside, but not for him a mere body in the wardrobe. There are many, many bodies and an ancient crime more terrible than murder.He is out of his jurisdiction, out of his depth, out of bacon sandwiches, and occasionally snookered and out of his mind, but never out of guile. Where there is a crime there must be a finding, there must be a chase and there must be a punishment. They say that in the end all sins are forgiven.But not quite all...",038561926X,378 pages,"2,489"," 
            Published
        October 13th 2011
         by Doubleday UK",4.16,"39,829"
D.K. Cherian,,Hardcover,Godwar: Hell Rising,"Cyclopean pyramids jut towards the sky like man-made mountains, magnificent amidst the stark environs of the desert. Within the labyrinthine interior of these great tombs lie great pharaohs, once resplendent and mighty rulers of ancient empires, now naught but petrified remains and dust. D.K Cherian tells the tale of a woman who is taken back to the time of these bygone ruCyclopean pyramids jut towards the sky like man-made mountains, magnificent amidst the stark environs of the desert. Within the labyrinthine interior of these great tombs lie great pharaohs, once resplendent and mighty rulers of ancient empires, now naught but petrified remains and dust. D.K Cherian tells the tale of a woman who is taken back to the time of these bygone rulers, to discover the truth of their ancient faith, and come to an understanding of what life and death was in Godwar: Hell Rising.A female archaeologist and her two friends become trapped in time. In ancient Egypt, they meet a simple farmer, a queen making her grab for the throne, a politically motivated architect, and a power-hungry vizier. All their lives will be changed by the oncoming wars against the minions of a long dead and dark power and the ensuing struggle between the demons of Hell and the gods of Heaven.This novel combines elements of fantasy, history, politics, adventure and mythology into an intriguing silken spider-web that makes it a must-read for all fantasy, adventure and Egyptology fans.",,600 pages,9," 
            Published
        March 1st 2013
         by Xlibris Corporation",4.82,22
Kelly Link,"Nebula Award for Best Novella (2005),Locus Award for Best Collection (2006),New York Public Library Young Lions Fiction Award Nominee (2006),World Fantasy Award Nominee for Best Collection (2006)",Paperback,Magic for Beginners,"The nine stories in Link's second collection are the spitting image of those in her acclaimed debut, Stranger Things Happen: effervescent blends of quirky humor and pathos that transform stock themes of genre fiction into the stuff of delicate lyrical fantasy. In ""Stone Animals,"" a house's haunting takes the unusual form of hordes of rabbits that camp out nightly on the frThe nine stories in Link's second collection are the spitting image of those in her acclaimed debut, Stranger Things Happen: effervescent blends of quirky humor and pathos that transform stock themes of genre fiction into the stuff of delicate lyrical fantasy. In ""Stone Animals,"" a house's haunting takes the unusual form of hordes of rabbits that camp out nightly on the front lawn. This proves just one of several benign but inexplicable phenomena that begin to pull apart the family newly moved into the house as surely as a more sinister supernatural influence might. The title story beautifully captures the unpredictable potential of teenage lives through its account of a group of adolescent schoolfriends whose experiences subtly parallel events in a surreal TV fantasy series. Zombies serve as the focus for a young man's anxieties about his future in ""Some Zombie Contingency Plans"" and offer suggestive counterpoint to the lives of two convenience store clerks who serve them in ""The Hortlak."" Not only does Link find fresh perspectives from which to explore familiar premises, she also forges ingenious connections between disparate images and narrative approaches to suggest a convincing alternate logic that shapes the worlds of her highly original fantasies.Contents:The Faery Handbag (2004)The Hortlak (2003)The Cannon (2003)Stone Animals (2004)Catskin (2003)Some Zombie Contingency Plans (2005)The Great Divorce (2005)Magic for Beginners (2005)Lull (2002)",0156031876,297 pages,"1,120"," 
            Published
        September 5th 2006
         by Mariner Books",3.83,"7,526"
Steven Erikson,,Hardcover,Toll the Hounds,"In Darujhistan, the city of blue fire, it is said that love and death shall arrive dancing. It is summer and the heat is oppressive, but for the small round man in the faded red waistcoat, discomfiture is not just because of the sun. All is not well. Dire portents plague his nights and haunt the city streets like fiends of shadow. Assassins skulk in alleyways, but the quarIn Darujhistan, the city of blue fire, it is said that love and death shall arrive dancing. It is summer and the heat is oppressive, but for the small round man in the faded red waistcoat, discomfiture is not just because of the sun. All is not well. Dire portents plague his nights and haunt the city streets like fiends of shadow. Assassins skulk in alleyways, but the quarry has turned and the hunters become the hunted. Hidden hands pluck the strings of tyranny like a fell chorus. While the bards sing their tragic tales, somewhere in the distance can be heard the baying of Hounds...And in the distant city of Black Coral, where rules Anomander Rake, Son of Darkness, ancient crimes awaken, intent on revenge. It seems Love and Death are indeed about to arrive...hand in hand, dancing. A thrilling, harrowing novel of war, intrigue and dark, uncontrollable magic, ""Toll the Hounds"" is the new chapter in Erikson's monumental series - epic fantasy at its most imaginative and storytelling at its most exciting.",0765310082,829 pages,627," 
            Published
        September 16th 2008
         by Tor Books",4.33,"20,928"
Daniel Abraham,,Paperback,The Dragon's Path,"All paths lead to war...Marcus' hero days are behind him. He knows too well that even the smallest war still means somebody's death. When his men are impressed into a doomed army, staying out of a battle he wants no part of requires some unorthodox steps.Cithrin is an orphan, ward of a banking house. Her job is to smuggle a nation's wealth across a war zone, hiding the golAll paths lead to war...Marcus' hero days are behind him. He knows too well that even the smallest war still means somebody's death. When his men are impressed into a doomed army, staying out of a battle he wants no part of requires some unorthodox steps.Cithrin is an orphan, ward of a banking house. Her job is to smuggle a nation's wealth across a war zone, hiding the gold from both sides. She knows the secret life of commerce like a second language, but the strategies of trade will not defend her from swords.Geder, sole scion of a noble house, has more interest in philosophy than in swordplay. A poor excuse for a soldier, he is a pawn in these games. No one can predict what he will become.Falling pebbles can start a landslide. A spat between the Free Cities and the Severed Throne is spiraling out of control. A new player rises from the depths of history, fanning the flames that will sweep the entire region onto The Dragon's Path-the path to war.",1841498874,555 pages,"1,210"," 
            Published
        April 7th 2011
         by Orbit",3.78,"16,785"
Patricia A. McKillip,"World Fantasy Award for Best Novel (2003),Mythopoeic Fantasy Award for Adult Literature (2003),Prix Imaginales for Roman étranger (2006),Tähtifantasia Award Nominee (2007)",Paperback,Ombria in Shadow,"Ombria is a place heaped with history -- and secrets. There is a buried city beneath it inhabited by ghosts, accessible only through magical passages and long-forgotten doorways. When the Prince of Ombria dies suddenly, his wicked great-aunt Domina Pearl seizes power by becoming regent to the prince's young son, Kyel. Minutes after the prince's death, Domina kicks Lydea, tOmbria is a place heaped with history -- and secrets. There is a buried city beneath it inhabited by ghosts, accessible only through magical passages and long-forgotten doorways. When the Prince of Ombria dies suddenly, his wicked great-aunt Domina Pearl seizes power by becoming regent to the prince's young son, Kyel. Minutes after the prince's death, Domina kicks Lydea, the prince's longtime mistress, out into the streets to die. But she is saved by a strange girl named Mag, a supposed waxling created by a powerful sorceress who lives underneath the city. With the help of Mag and the prince's bastard nephew, a strange, silver-eyed man obsessed with drawing, Lydea tries to save Kyel and somehow defeat Domina.",0441010164,298 pages,225," 
            Published
        February 4th 2003
         by Ace",3.99,"4,144"
Michelle Sagara,,Mass Market Paperback,Cast in Shadow,"Seven years ago Kaylin fled the crime-riddled streets of Nightshade,  that something was after her. Children were being murdered — and all had the same odd markings that mysteriously appeared on her own skin...Since then, she's learned to read, she's learned to fight and she's become one of the vaunted Hawks who patrol and police the City of Elantra. Alongside the wSeven years ago Kaylin fled the crime-riddled streets of Nightshade,  that something was after her. Children were being murdered — and all had the same odd markings that mysteriously appeared on her own skin...Since then, she's learned to read, she's learned to fight and she's become one of the vaunted Hawks who patrol and police the City of Elantra. Alongside the winged Aerians and immortal Barrani, she's made a place for herself, far from the mean streets of her birth.But children are once again dying, and a dark and familiar pattern is emerging, Kaylin is ordered back into Nightshade with a partner she  she can't trust, a Dragon lord for a companion and a device to contain her powers — powers that no other human has. Her task is simple — find the killer, stop the murders... and survive the attentions of those who claim to be her allies!",0373802544,507 pages,896," 
            Published
        July 1st 2005
         by Luna",3.79,"14,718"
